la joie,joy
la tristesse,sadness
la colère,anger
la peur,fear
la surprise,surprise
le dégoût,disgust
content,satisfied
joyeux,joyful
heureux,happy
ému,"moved, touched"
touché,touched
amoureux,in love
fâché,angry
énervé,"irritated, angry"
vexé,offended
frustré,frustrated
inquiet,worried
anxieux,anxious
stressé,stressed
déprimé,depressed
déçu,disappointed
étonné,"surprised, astonished"
choqué,shocked
impressionné,impressed
mal à l'aise,uncomfortable
dégoûté,disgusted
écœuré,"disgusted, sickened"
se sentir,to feel
douter,to doubt
hésiter,to hesitate
regretter,to regret
craindre,to fear
souffrir,to suffer
s'inquiéter,to be worried
l'amour,love
le doute,doubt
l'hésitation,hesitation
le regret,regret
la crainte,fear
la souffrance,suffering
l'inquiétude,worry
