un anorak,raincoat
un pantalon,pants
un tee-shirt,T-shirt
des chaussettes,socks
une chemise,shirt
une veste,jacket
des baskets,sneakers
une robe,dress
des chaussures,shoes
des lunettes de soleil,sunglasses
une crème solaire,sunscreen
une trousse de toilette,toiletry bag
un slip,panties
un soutien-gorge,bra
une écharpe,scarf
un pull,pullover
des sandales,sandals
un maillot de bain,swimsuit
un bonnet,hat
une casquette,cap
un sweat,sweatshirt
un short,shorts
une jupe,skirt
une tuque,hat
une culotte,panties
un boxer,underwear
un blouson,jacket
un manteau,coat
un haut,top
un costume,suit
une cravate,tie
un noeud papillon,bow tie
un tailleur,lady's suit
un uniforme,uniform
un gilet,"waistcoat, vest"
un cardigan,cardigan
un maillot,"vest, undershirt"
un caleçon,"boxer shorts, shorts"
des gants,gloves
une chaussette,sock
une chaussure,shoe
une botte,boot
une sandale,sandal
