à,"to, at, in"
à côte de,"next to, beside"
au sujet de,"about, on the subject of"
avant,before
chez,"at the home of, office of, among"
d’après,according to
de,"from, of, about"
depuis,"since, for"
devant,in front of
durant,"during, while"
en,"in, on, to"
en dehors de,outside
en face de,"facing, across from"
entre,between
environ,approximately
hors de,outside
jusque,"until, up to, even"
loin de,far from
nalgré,despite
promi,among
près de,near
quant à,"as for, regarding"
sans,without
selon,according to
suivant,according to
sur,on
vers,toward
d’habitude,usually
parfois,sometimes
de temps en temps,sometimes
quelquefois,sometimes
rarement,rarely
jamais,never
