se réveiller,to wake up
le matin,morning
se lever,to get up
s'habiller,to dress up
se brosser les dents,to brush the teeth
se laver le visage,to wash the face
prendre une douche,to take a shower
prendre le petit-déjeuner,to have breakfast
l'après-midi,afternoon
aller au travail,to go to work
travailler,to work
déjeuner,to have lunch
dîner,to have dinner
prendre une pause,to take a break
faire une sieste,to take a nap
le soir,evening
faire du sport,to exercise
préparer le repas,to prepare the meal
manger,to eat
faire une promenade,to go for a walk
se promener,to walk
lire des livres,to read books
écouter de la musique,to listen to music
regarder des films ou des séries,to watch movies or tv shows
voir des amis,to see friends
aller au cinéma,to go to the cinema
jouer aux jeux vidéo,to play video games
